country_code,year,unemployment_rate,internet_users,gdp_per_capita,tertiary_enrollment
TZA,1964,,,346.301818847656,
TZA,1965,,,342.077941894531,
TZA,1966,,,380.497924804688,
TZA,1967,,,384.642944335938,
TZA,1968,,,399.301635742188,
TZA,1969,,,405.450805664063,
TZA,1970,,,217.235641479492,0.169540002942085
TZA,1971,,,224.451416015625,0.182339996099472
TZA,1972,,,246.546295166016,0.216480001807213
TZA,1973,,,283.801849365234,0.236780002713203
TZA,1974,,,328.783599853516,0.263350009918213
TZA,1975,,,364.969940185547,0.227929994463921
TZA,1976,,,397.542755126953,0.22223000228405
TZA,1977,,,458.058349609375,0.175659999251366
TZA,1978,,,529.603637695313,0.328029990196228
TZA,1979,,,542.11474609375,0.263150006532669
TZA,1980,,,611.211791992188,
TZA,1981,,,683.913269042969,
TZA,1982,,,701.959838867188,0.266510009765625
TZA,1983,,,685.276489257813,0.268620014190674
TZA,1984,,,609.331420898438,0.277399986982346
TZA,1985,,,700.450073242188,0.273930013179779
TZA,1986,,,479.281768798828,0.274250000715256
TZA,1987,,,334.822784423828,0.321339994668961
TZA,1988,,,307.50634765625,
TZA,1989,,,259.502227783203,0.256680011749268
TZA,1990,,0.0,243.611557006836,
TZA,1991,3.6,,276.452453613281,0.33186000585556
TZA,1992,3.683,,250.329925537109,0.338530004024506
TZA,1993,3.892,,224.491546630859,0.378969997167587
TZA,1994,3.861,,228.890029907227,0.394089996814728
TZA,1995,3.672,,258.418334960938,0.448469996452331
TZA,1996,3.475,0.00162,313.658386230469,0.505940020084381
TZA,1997,3.342,0.0079,363.597686767578,0.603569984436035
TZA,1998,3.283,0.00924,386.378448486328,0.521799981594086
TZA,1999,3.219,0.0751,392.621765136719,0.602710008621216
TZA,2000,3.129,0.11719444010825,401.698150634766,0.64341002702713
TZA,2001,2.994,0.171300350668948,396.638732910156,0.662460029125214
TZA,2002,3.023,0.222484413923909,402.649047851563,0.697420001029968
TZA,2003,3.053,0.676962856510303,422.18359375,0.897960007190704
TZA,2004,3.105,0.87757497099259,450.385284423828,1.21524000167847
TZA,2005,3.193,1.100000024,483.334869384766,1.42771995067596
TZA,2006,3.299,1.299999952,475.746734619141,
TZA,2007,3.023,1.6,543.198303222656,1.46310997009277
TZA,2008,2.775,1.899999976,675.977233886719,
TZA,2009,2.5,2.400000095,693.823547363281,
